acousticness,danceability,energy,instrumentalness,key,liveness,loudness,speechiness,tempo,time_signature,valence,mbti
0.494,0.746,0.56,0,5,0.316,-14.789,0.0565,124.68,4,0.854,2
0.527,0.73,0.235,0.0112,0,0.0663,-15.276,0.0355,87.226,4,0.624,2
0.149,0.646,0.807,0.000593,2,0.0639,-5.87,0.132,125.516,4,0.786,2
0.67,0.542,0.588,0.158,2,0.241,-9.268,0.0665,113.948,3,0.881,2
0.491,0.321,0.625,5.08e-05,2,0.345,-5.219,0.0302,107.338,4,0.777,2
0.282,0.294,0.736,0.0418,7,0.102,-7.961,0.151,208.576,3,0.753,2
0.44,0.572,0.348,0.000721,0,0.235,-13.454,0.0294,73.304,4,0.34,2
0.323,0.498,0.484,0.0108,7,0.761,-10.5,0.0922,110.541,4,0.604,2
0.407,0.469,0.236,0.0434,7,0.215,-16.981,0.0364,82.232,4,0.415,2
0.689,0.626,0.307,0.00663,9,0.0843,-14.645,0.0836,173.652,4,0.62,2
0.343,0.648,0.544,2.93e-06,1,0.087,-8.963,0.179,153.063,4,0.619,2
0.946,0.628,0.135,1.02e-05,9,0.0915,-20.695,0.0435,103.664,4,0.773,2
0.805,0.519,0.404,0.000389,9,0.115,-13.072,0.0366,95.25,4,0.72,2
0.62,0.441,0.455,0.00187,10,0.135,-14.207,0.0485,160.9,4,0.918,2
0.0488,0.353,0.921,0.065,2,0.314,-5.64,0.0758,145.589,3,0.526,2
0.533,0.53,0.593,4.78e-05,0,0.0446,-9.2,0.0382,162.335,4,0.647,2
0.989,0.629,0.0192,4.3e-05,4,0.106,-19.952,0.0833,169.254,4,0.335,2
0.167,0.626,0.582,0.000222,6,0.304,-8.536,0.094,84.727,4,0.911,2
0.851,0.51,0.223,0.00539,4,0.114,-11.205,0.0432,168.652,3,0.413,2
0.507,0.601,0.19,5.49e-05,5,0.18,-18.675,0.061,202.294,3,0.656,2
0.593,0.56,0.241,0.195,4,0.122,-15.385,0.0314,79.537,4,0.341,2
0.362,0.475,0.383,0.749,1,0.0728,-14.202,0.0375,114.709,4,0.524,2
0.786,0.654,0.316,0.0563,0,0.131,-18.692,0.041,94.485,4,0.697,2
0.642,0.303,0.648,0.053,0,0.407,-6.795,0.0512,170.379,3,0.644,2
0.616,0.64,0.307,0.00206,2,0.1,-13.304,0.109,94.975,4,0.541,2
0.535,0.666,0.421,0.0143,4,0.112,-8.553,0.0421,79.918,4,0.435,2
0.101,0.678,0.612,0.318,4,0.164,-9.764,0.0339,118.381,4,0.857,2
0.856,0.779,0.155,7.82e-06,5,0.0974,-21.57,0.112,103.251,4,0.696,2
0.805,0.541,0.283,0.0367,0,0.0736,-13.659,0.0527,76.828,4,0.564,2
0.652,0.523,0.568,0.00534,9,0.1,-12.584,0.0751,135.448,4,0.813,2
0.492,0.633,0.625,0.000418,0,0.204,-10.951,0.0436,103.355,4,0.841,2
0.775,0.627,0.334,0.00391,2,0.161,-13.163,0.0387,87.115,4,0.843,2
0.948,0.57,0.241,0.0224,4,0.111,-12.138,0.0473,115.352,3,0.543,2
0.000788,0.256,0.423,0.402,6,0.25,-11.994,0.035,173.27,3,0.441,2
0.0776,0.393,0.132,0.108,4,0.0956,-18.825,0.0321,87.168,4,0.293,2
0.543,0.819,0.31,0.00126,1,0.112,-10.971,0.0605,92.691,4,0.787,2
0.968,0.665,0.273,0.0104,2,0.0794,-14.875,0.0509,103.589,4,0.692,2
0.137,0.713,0.281,0.0258,3,0.111,-11.057,0.0379,148.301,3,0.397,2
0.462,0.883,0.446,1.03e-06,0,0.0447,-10.304,0.0574,112.635,4,0.964,2
0.0684,0.731,0.534,0.0433,0,0.214,-9.082,0.0571,124.573,4,0.673,2
